  Evaluate CLD1 20110406 256k
 Language				Precision				Recall				F-measure
 Name	Code	Script		Top five	N.det	%		Top five	N.act	%		fraction	Code
AFRIKAANS	af	Latn		af_100.00 	10877	100.00		af_98.85 af*_0.96 nl_0.15 un*_0.02 en_0.01 	11003	98.85		0.9942	af
ALBANIAN	sq	Latn		sq_100.00 	10314	100.00		sq_99.99 sq*_0.01 	10315	99.99		1.0000	sq
ARABIC	ar	Arab		ar_100.00 	7125	100.00		ar_99.99 un*_0.01 	7126	99.99		0.9999	ar
AZERBAIJANI	az	Latn		az_100.00 	7289	100.00		az_99.79 az*_0.19 tr_0.01 	7304	99.79		0.9990	az
BASQUE	eu	Latn		eu_100.00 	2560	100.00		eu_100.00 	2560	100.00		1.0000	eu
BELARUSIAN	be	Cyrl		be_100.00 	783	100.00		be_100.00 	783	100.00		1.0000	be
BENGALI	bn	Beng		bn_100.00 	11949	100.00		bn_99.94 un*_0.06 	11956	99.94		0.9997	bn
BIHARI	bh	Deva			0	 0.00		hi_91.72 un*_6.37 xxx_1.91 	157	 0.00		0.0000	bh
BOSNIAN	bs	Latn			0	 0.00		hr_88.07 sr_10.81 un*_1.01 sl_0.11 	8901	 0.00		0.0000	bs
BULGARIAN	bg	Cyrl		bg_99.79 mk_0.15 sr_0.05 	11207	99.79		bg_99.68 bg*_0.29 un*_0.01 ru_0.01 mk_0.01 	11220	99.68		0.9974	bg
CATALAN	ca	Latn		ca_99.99 es_0.01 	10852	99.99		ca_99.27 ca*_0.72 es_0.01 	10931	99.27		0.9963	ca
CEBUANO	ceb	Latn			0	 0.00		tl_100.00 	123	 0.00		0.0000	ceb
CROATIAN	hr	Latn		hr_41.44 bs_31.65 sr_26.90 sl_0.02 	24771	41.44		hr_97.43 sr_1.86 hr*_0.64 sl_0.05 un*_0.03 	10535	97.43		0.5814	hr
CZECH	cs	Latn		cs_99.97 sk_0.03 	11072	99.97		cs_99.35 sk_0.54 cs*_0.11 	11141	99.35		0.9966	cs
Chinese	zh	Hani		not evaluated								0.0000	zh
