  Evaluate CLD2 large 20130720 1024k
 Language				Precision				Recall				F-measure
 Name	Code	Script		Top five	N.det	%		Top five	N.act	%		fraction	Code
ABKHAZIAN	ab	Cyrl		ab_100.00 	147	100.00		ab_100.00 	147	100.00		1.0000	ab
AFAR	aa	Latn		aa_100.00 	6	100.00		aa_85.71 aa*_14.29 	7	85.71		0.9231	aa
AFRIKAANS	af	Latn		af_100.00 	10965	100.00		af_99.65 af*_0.34 un*_0.01 	11003	99.65		0.9983	af
AKAN	ak	Latn		ak_100.00 	188	100.00		ak_99.47 ak*_0.53 	189	99.47		0.9973	ak
ALBANIAN	sq	Latn		sq_100.00 	10315	100.00		sq_100.00 	10315	100.00		1.0000	sq
AMHARIC	am	Ethi		am_100.00 	617	100.00		am_100.00 	617	100.00		1.0000	am
ARABIC	ar	Arab		ar_100.00 	7125	100.00		ar_99.99 ar*_0.01 	7126	99.99		0.9999	ar
ARMENIAN	hy	Armn		hy_100.00 	11183	100.00		hy_100.00 	11183	100.00		1.0000	hy
ASSAMESE	as	Beng		as_100.00 	258	100.00		as_91.17 as*_8.48 un*_0.35 	283	91.17		0.9538	as
AYMARA	ay	Latn		ay_100.00 	128	100.00		ay_99.22 ay*_0.78 	129	99.22		0.9961	ay
AZERBAIJANI	az	Latn		az_100.00 	7295	100.00		az_99.88 az*_0.12 	7304	99.88		0.9994	az
BASHKIR	ba	Cyrl		ba_100.00 	284	100.00		ba_99.30 ba*_0.70 	286	99.30		0.9965	ba
BASQUE	eu	Latn		eu_100.00 	2560	100.00		eu_100.00 	2560	100.00		1.0000	eu
BELARUSIAN	be	Cyrl		be_100.00 	783	100.00		be_100.00 	783	100.00		1.0000	be
BENGALI	bn	Beng		bn_100.00 	11956	100.00		bn_100.00 	11956	100.00		1.0000	bn
BIHARI	bh	Deva		bh_97.66 hi_1.56 mr_0.78 	128	97.66		bh_79.62 hi_20.38 	157	79.62		0.8772	bh
BISLAMA	bi	Latn		bi_100.00 	402	100.00		bi_99.75 bi*_0.25 	403	99.75		0.9988	bi
BOSNIAN	bs	Latn			0	 0.00		sr_62.61 hr_36.69 un*_0.63 sl_0.07 	8901	 0.00		0.0000	bs
BRETON	br	Latn		br_100.00 	478	100.00		br_100.00 	478	100.00		1.0000	br
BULGARIAN	bg	Cyrl		bg_100.00 	11191	100.00		bg_99.74 bg*_0.24 un*_0.01 sr_0.01 	11220	99.74		0.9987	bg
BURMESE	my	Mymr		my_100.00 	2069	100.00		my_100.00 	2069	100.00		1.0000	my
CATALAN	ca	Latn		ca_100.00 	10815	100.00		ca_98.94 ca*_1.03 es_0.03 	10931	98.94		0.9947	ca
CEBUANO	ceb	Latn		ceb_100.00 	123	100.00		ceb_100.00 	123	100.00		1.0000	ceb
CHEROKEE	chr	Cher		chr_100.00 	235	100.00		chr_100.00 	235	100.00		1.0000	chr
CORSICAN	co	Latn		co_100.00 	437	100.00		co_95.62 co*_2.41 it_0.88 fr_0.66 un*_0.22 	457	95.62		0.9776	co
CROATIAN	hr	Latn		hr_61.09 bs_28.66 sr_10.24 sl_0.01 	11396	61.09		hr_66.08 sr_33.49 hr*_0.29 un*_0.13 	10535	66.08		0.6349	hr
CZECH	cs	Latn		cs_99.95 sk_0.05 	11107	99.95		cs_99.64 sk_0.35 cs*_0.01 	11141	99.64		0.9979	cs
Chinese	zh	Hani		zh_97.55 zh-Hant_2.45 	12669	97.55		zh_99.79 zh-Hant_0.10 zh*_0.09 un*_0.02 	12384	99.79		0.9865	zh
ChineseT	zh-Hant	Hani		zh-Hant_99.90 zh_0.10 	12839	99.90		zh-Hant_97.24 zh_2.36 zh-Hant*_0.20 un*_0.17 ja_0.02 	13190	97.24		0.9855	zh-Hant
DANISH	da	Latn		da_99.57 no_0.27 nn_0.16 	10589	99.57		da_99.62 no_0.29 da*_0.09 	10583	99.62		0.9959	da
DHIVEHI	dv	Thaa		dv_100.00 	705	100.00		dv_100.00 	705	100.00		1.0000	dv
DUTCH	nl	Latn		nl_100.00 	11064	100.00		nl_99.73 nl*_0.26 fr_0.01 	11094	99.73		0.9986	nl
DZONGKHA	dz	Tibt		dz_93.55 bo_6.45 	124	93.55		dz_93.55 bo_6.45 	124	93.55		0.9355	dz
ENGLISH	en	Latn		en_98.44 ia_1.25 sco_0.21 ie_0.03 zzp_0.03 	10541	98.44		en_99.95 en*_0.05 	10382	99.95		0.9919	en
ESPERANTO	eo	Latn		eo_100.00 	595	100.00		eo_98.67 eo*_1.33 	603	98.67		0.9933	eo
ESTONIAN	et	Latn		et_100.00 	10944	100.00		et_99.99 et*_0.01 	10945	99.99		1.0000	et
FAROESE	fo	Latn		fo_100.00 	982	100.00		fo_99.90 fo*_0.10 	983	99.90		0.9995	fo
FIJIAN	fj	Latn		fj_100.00 	151	100.00		fj_98.69 fj*_1.31 	153	98.69		0.9934	fj
FINNISH	fi	Latn		fi_100.00 	10470	100.00		fi_99.99 fi*_0.01 	10471	99.99		1.0000	fi
FRENCH	fr	Latn		fr_99.93 co_0.03 ht_0.02 nl_0.01 ie_0.01 	10009	99.93		fr_99.73 fr*_0.26 war_0.01 	10029	99.73		0.9983	fr
FRISIAN	fy	Latn		fy_100.00 	747	100.00		fy_99.87 fy*_0.13 	748	99.87		0.9993	fy
GALICIAN	gl	Latn		gl_99.93 es_0.06 pt_0.01 	10222	99.93		gl_90.67 es_7.97 pt_1.07 gl*_0.26 un*_0.04 	11266	90.67		0.9508	gl
GANDA	lg	Latn		lg_100.00 	286	100.00		lg_100.00 	286	100.00		1.0000	lg
GEORGIAN	ka	Geor		ka_100.00 	12453	100.00		ka_100.00 	12453	100.00		1.0000	ka
GERMAN	de	Latn		de_99.98 lb_0.01 co_0.01 	11064	99.98		de_99.97 de*_0.02 un*_0.01 	11065	99.97		0.9998	de
GREEK	el	Grek		el_100.00 	11572	100.00		el_100.00 	11572	100.00		1.0000	el
GREENLANDIC	kl	Latn		kl_100.00 	214	100.00		kl_100.00 	214	100.00		1.0000	kl
GUARANI	gn	Latn		gn_100.00 	187	100.00		gn_98.42 es_1.05 gn*_0.53 	190	98.42		0.9920	gn
GUJARATI	gu	Gujr		gu_100.00 	12458	100.00		gu_100.00 	12458	100.00		1.0000	gu
HAITIAN_CREOLE	ht	Latn		ht_100.00 	346	100.00		ht_97.74 ht*_1.13 fr_0.56 un*_0.28 en_0.28 	354	97.74		0.9886	ht
HAUSA	ha	Latn		ha_100.00 	1800	100.00		ha_100.00 	1800	100.00		1.0000	ha
HAWAIIAN	haw	Latn		haw_100.00 	278	100.00		haw_100.00 	278	100.00		1.0000	haw
HEBREW	iw	Hebr		iw_100.00 	10645	100.00		iw_100.00 	10645	100.00		1.0000	iw
HINDI	hi	Deva		hi_98.88 ne_0.73 bh_0.26 mr_0.13 	12263	98.88		hi_99.92 mr_0.07 bh_0.02 	12136	99.92		0.9940	hi
HMONG	hmn	Latn		hmn_100.00 	166	100.00		hmn_100.00 	166	100.00		1.0000	hmn
