  Evaluate CLD2 20140122 1024k
 Language				Precision				Recall				F-measure
 Name	Code	Script		Top five	N.det	%		Top five	N.act	%		fraction	Code
ABKHAZIAN	ab	Cyrl		ab_100.00 	147	100.00		ab_100.00 	147	100.00		1.0000	ab
AFAR	aa	Latn		aa_100.00 	7	100.00		aa_100.00 	7	100.00		1.0000	aa
AFRIKAANS	af	Latn		af_99.99 nl_0.01 	10988	99.99		af_99.85 af*_0.15 	11003	99.85		0.9992	af
AKAN	ak	Latn		ak_100.00 	189	100.00		ak_100.00 	189	100.00		1.0000	ak
ALBANIAN	sq	Latn		sq_100.00 	10315	100.00		sq_100.00 	10315	100.00		1.0000	sq
AMHARIC	am	Ethi		am_100.00 	617	100.00		am_100.00 	617	100.00		1.0000	am
ARABIC	ar	Arab		ar_100.00 	7126	100.00		ar_100.00 	7126	100.00		1.0000	ar
ARMENIAN	hy	Armn		hy_100.00 	11183	100.00		hy_100.00 	11183	100.00		1.0000	hy
ASSAMESE	as	Beng		as_100.00 	283	100.00		as_100.00 	283	100.00		1.0000	as
AYMARA	ay	Latn		ay_100.00 	129	100.00		ay_100.00 	129	100.00		1.0000	ay
AZERBAIJANI	az	Latn		az_100.00 	7299	100.00		az_99.93 az*_0.07 	7304	99.93		0.9997	az
BASHKIR	ba	Cyrl		ba_100.00 	284	100.00		ba_99.30 ba*_0.70 	286	99.30		0.9965	ba
BASQUE	eu	Latn		eu_100.00 	2560	100.00		eu_100.00 	2560	100.00		1.0000	eu
BELARUSIAN	be	Cyrl		be_100.00 	783	100.00		be_100.00 	783	100.00		1.0000	be
BENGALI	bn	Beng		bn_100.00 	11956	100.00		bn_100.00 	11956	100.00		1.0000	bn
BIHARI	bh	Deva		bh_96.77 hi_2.42 mr_0.81 	124	96.77		bh_76.43 hi_22.93 mr_0.64 	157	76.43		0.8541	bh
BISLAMA	bi	Latn		bi_100.00 	401	100.00		bi_99.50 bi*_0.50 	403	99.50		0.9975	bi
BOSNIAN	bs	Latn		bs_69.67 hr_15.36 sr_14.96 	8266	69.67		bs_64.70 hr_28.30 sr_5.67 bs*_0.69 un*_0.63 	8901	64.70		0.6709	bs
BRETON	br	Latn		br_100.00 	478	100.00		br_100.00 	478	100.00		1.0000	br
BULGARIAN	bg	Cyrl		bg_100.00 	11173	100.00		bg_99.58 bg*_0.38 sr_0.04 	11220	99.58		0.9979	bg
BURMESE	my	Mymr		my_100.00 	2069	100.00		my_100.00 	2069	100.00		1.0000	my
CATALAN	ca	Latn		ca_100.00 	10900	100.00		ca_99.72 ca*_0.27 oc_0.01 	10931	99.72		0.9986	ca
CEBUANO	ceb	Latn		ceb_100.00 	123	100.00		ceb_100.00 	123	100.00		1.0000	ceb
CHEROKEE	chr	Cher		chr_100.00 	235	100.00		chr_100.00 	235	100.00		1.0000	chr
CORSICAN	co	Latn		co_99.54 it_0.46 	438	99.54		co_95.40 co*_2.41 fr_0.88 it_0.66 un*_0.22 	457	95.40		0.9743	co
CROATIAN	hr	Latn		hr_70.01 bs_19.57 sr_10.42 	12874	70.01		hr_85.55 bs_12.06 sr_1.81 hr*_0.44 un*_0.14 	10535	85.55		0.7700	hr
CZECH	cs	Latn		cs_99.97 sk_0.03 	11104	99.97		cs_99.64 sk_0.34 cs*_0.02 	11141	99.64		0.9981	cs
Chinese	zh	Hani		zh_97.55 zh-Hant_2.45 	12669	97.55		zh_99.79 zh-Hant_0.10 zh*_0.09 un*_0.02 	12384	99.79		0.9865	zh
ChineseT	zh-Hant	Hani		zh-Hant_99.90 zh_0.10 	12839	99.90		zh-Hant_97.24 zh_2.36 zh-Hant*_0.20 un*_0.17 ja_0.02 	13190	97.24		0.9855	zh-Hant
DANISH	da	Latn		da_99.81 no_0.11 nn_0.07 sv_0.01 	10596	99.81		da_99.93 no_0.06 da*_0.01 	10583	99.93		0.9987	da
DHIVEHI	dv	Thaa		dv_100.00 	705	100.00		dv_100.00 	705	100.00		1.0000	dv
DUTCH	nl	Latn		nl_100.00 	11081	100.00		nl_99.88 nl*_0.11 af_0.01 	11094	99.88		0.9994	nl
DZONGKHA	dz	Tibt		dz_100.00 	116	100.00		dz_93.55 bo_6.45 	124	93.55		0.9667	dz
ENGLISH	en	Latn		en_98.08 ia_1.64 ie_0.10 sco_0.09 zzp_0.05 	10581	98.08		en_99.96 en*_0.04 	10382	99.96		0.9901	en
ESPERANTO	eo	Latn		eo_100.00 	598	100.00		eo_99.17 eo*_0.66 hu_0.17 	603	99.17		0.9958	eo
ESTONIAN	et	Latn		et_100.00 	10943	100.00		et_99.98 et*_0.02 	10945	99.98		0.9999	et
FAROESE	fo	Latn		fo_100.00 	980	100.00		fo_99.69 fo*_0.31 	983	99.69		0.9985	fo
FIJIAN	fj	Latn		fj_100.00 	152	100.00		fj_99.35 fj*_0.65 	153	99.35		0.9967	fj
FINNISH	fi	Latn		fi_100.00 	10471	100.00		fi_100.00 	10471	100.00		1.0000	fi
FRENCH	fr	Latn		fr_99.95 co_0.04 ht_0.01 	10020	99.95		fr_99.86 fr*_0.14 	10029	99.86		0.9991	fr
FRISIAN	fy	Latn		fy_100.00 	746	100.00		fy_99.73 fy*_0.27 	748	99.73		0.9987	fy
GALICIAN	gl	Latn		gl_99.82 es_0.17 pt_0.01 	10601	99.82		gl_93.93 es_5.12 pt_0.83 gl*_0.12 un*_0.01 	11266	93.93		0.9679	gl
GANDA	lg	Latn		lg_100.00 	286	100.00		lg_100.00 	286	100.00		1.0000	lg
GEORGIAN	ka	Geor		ka_100.00 	12453	100.00		ka_100.00 	12453	100.00		1.0000	ka
GERMAN	de	Latn		de_99.98 lb_0.01 co_0.01 	11063	99.98		de_99.96 de*_0.03 un*_0.01 	11065	99.96		0.9997	de
GREEK	el	Grek		el_100.00 	11572	100.00		el_100.00 	11572	100.00		1.0000	el
GREENLANDIC	kl	Latn		kl_100.00 	214	100.00		kl_100.00 	214	100.00		1.0000	kl
GUARANI	gn	Latn		gn_100.00 	190	100.00		gn_100.00 	190	100.00		1.0000	gn
GUJARATI	gu	Gujr		gu_100.00 	12458	100.00		gu_100.00 	12458	100.00		1.0000	gu
HAITIAN_CREOLE	ht	Latn		ht_100.00 	350	100.00		ht_98.87 ht*_0.85 fr_0.28 	354	98.87		0.9943	ht
HAUSA	ha	Latn		ha_100.00 	1799	100.00		ha_99.94 ha*_0.06 	1800	99.94		0.9997	ha
HAWAIIAN	haw	Latn		haw_100.00 	278	100.00		haw_100.00 	278	100.00		1.0000	haw
HEBREW	iw	Hebr		iw_100.00 	10644	100.00		iw_99.99 iw*_0.01 	10645	99.99		1.0000	iw
HINDI	hi	Deva		hi_99.58 bh_0.30 ne_0.07 mr_0.05 	12177	99.58		hi_99.92 mr_0.03 bh_0.02 ne_0.02 hi*_0.01 	12136	99.92		0.9975	hi
HMONG	hmn	Latn		hmn_100.00 	166	100.00		hmn_100.00 	166	100.00		1.0000	hmn
HUNGARIAN	hu	Latn		hu_99.99 eo_0.01 	11223	99.99		hu_99.98 hu*_0.02 	11224	99.98		0.9999	hu
