  Evaluate CLD2 small 20130715 256k
 Language				Precision				Recall				F-measure
 Name	Code	Script		Top five	N.det	%		Top five	N.act	%		fraction	Code
AFRIKAANS	af	Latn		af_100.00 	10980	100.00		af_99.79 af*_0.20 un*_0.01 	11003	99.79		0.9990	af
ALBANIAN	sq	Latn		sq_100.00 	10315	100.00		sq_100.00 	10315	100.00		1.0000	sq
ARABIC	ar	Arab		ar_99.99 ur_0.01 	7126	99.99		ar_99.99 un*_0.01 	7126	99.99		0.9999	ar
AZERBAIJANI	az	Latn		az_100.00 	7298	100.00		az_99.92 az*_0.07 tr_0.01 	7304	99.92		0.9996	az
BASQUE	eu	Latn		eu_100.00 	2560	100.00		eu_100.00 	2560	100.00		1.0000	eu
BELARUSIAN	be	Cyrl		be_100.00 	783	100.00		be_100.00 	783	100.00		1.0000	be
BENGALI	bn	Beng		bn_100.00 	11951	100.00		bn_99.96 un*_0.04 	11956	99.96		0.9998	bn
BIHARI	bh	Deva		bh_97.44 hi_1.71 mr_0.85 	117	97.44		bh_72.61 hi_27.39 	157	72.61		0.8321	bh
BOSNIAN	bs	Latn			0	 0.00		hr_49.84 sr_49.47 un*_0.66 sl_0.03 	8901	 0.00		0.0000	bs
BULGARIAN	bg	Cyrl		bg_99.99 mk_0.01 	11161	99.99		bg_99.47 bg*_0.49 un*_0.02 sr_0.02 mk_0.01 	11220	99.47		0.9973	bg
CATALAN	ca	Latn		ca_100.00 	10820	100.00		ca_98.98 ca*_0.98 es_0.04 	10931	98.98		0.9949	ca
CEBUANO	ceb	Latn		ceb_98.40 so_1.60 	125	98.40		ceb_100.00 	123	100.00		0.9919	ceb
CROATIAN	hr	Latn		hr_56.28 bs_30.77 sr_12.94 sl_0.01 	14415	56.28		hr_77.01 sr_22.59 hr*_0.27 un*_0.10 sl_0.03 	10535	77.01		0.6503	hr
CZECH	cs	Latn		cs_99.92 sk_0.08 	11106	99.92		cs_99.61 sk_0.39 	11141	99.61		0.9976	cs
Chinese	zh	Hani		zh_97.55 zh-Hant_2.45 	12669	97.55		zh_99.79 zh-Hant_0.10 zh*_0.09 un*_0.02 	12384	99.79		0.9865	zh
ChineseT	zh-Hant	Hani		zh-Hant_99.90 zh_0.10 	12839	99.90		zh-Hant_97.24 zh_2.36 zh-Hant*_0.20 un*_0.17 ja_0.02 	13190	97.24		0.9855	zh-Hant
DANISH	da	Latn		da_99.88 no_0.11 sv_0.02 	10438	99.88		da_98.51 no_1.46 da*_0.03 	10583	98.51		0.9919	da
DUTCH	nl	Latn		nl_100.00 	11081	100.00		nl_99.88 nl*_0.11 fr_0.01 	11094	99.88		0.9994	nl
ENGLISH	en	Latn		en_99.98 so_0.01 ht_0.01 	10379	99.98		en_99.95 en*_0.05 	10382	99.95		0.9997	en
ESTONIAN	et	Latn		et_100.00 	10944	100.00		et_99.99 et*_0.01 	10945	99.99		1.0000	et
FINNISH	fi	Latn		fi_100.00 	10471	100.00		fi_100.00 	10471	100.00		1.0000	fi
FRENCH	fr	Latn		fr_99.97 ht_0.02 nl_0.01 	10027	99.97		fr_99.95 fr*_0.05 	10029	99.95		0.9996	fr
GALICIAN	gl	Latn		gl_99.95 pt_0.03 es_0.02 	10071	99.95		gl_89.35 es_9.04 pt_1.42 gl*_0.17 un*_0.02 	11266	89.35		0.9435	gl
GANDA	lg	Latn		lg_50.89 zu_49.11 	562	50.89		lg_100.00 	286	100.00		0.6745	lg
GERMAN	de	Latn		de_100.00 	11063	100.00		de_99.98 de*_0.02 	11065	99.98		0.9999	de
GREEK	el	Grek		el_100.00 	11572	100.00		el_100.00 	11572	100.00		1.0000	el
HAITIAN_CREOLE	ht	Latn		ht_100.00 	348	100.00		ht_98.31 ht*_0.56 fr_0.56 un*_0.28 en_0.28 	354	98.31		0.9915	ht
HAUSA	ha	Latn			0	 0.00		un*_92.94 rw_7.06 	1800	 0.00		0.0000	ha
HEBREW	iw	Hebr		iw_100.00 	10642	100.00		iw_99.97 un*_0.03 	10645	99.97		0.9999	iw
